%s - Discounts and Coupons,%s - Reduceri si cupoane
%s - Special Products,%s - Produse speciale
%s RSS Feed,%s Feed RSS
%s has reached a quantity of %s.,%s a atins cantitatea de %s.
%s\'s Wishlist,Favoritele lui %s
Cannot retrieve the wishlist,Nu se poate recupera lista de favorite
Catalog,Catalog
Category Feeds,Feed-uri categorii
Click for price,Click pentru pret
Comment: %s<br/>,Comentariu: %s<br/>
Coupons/Discounts,Cupoane/Reduceri
Current Status: %s<br/>,Statut actual: %s<br/>
Customer Name: %s,Nume client: %s
Customer Order Status Notification,Notificarea starii comenzii clientului
Details for %s #%s,Detalii pentru %s #%s
Discount,Reducere 
Discount (%s),Reducere  (%s)
Enable RSS,Activeaza RSS
Error in processing xml. %s,Eroare in procesarea xml. %s
From:,De la:
Get Feed,Primeste Feed
Gift Message,Mesaj pentru cadouri
Grand Total,Total general
Low Stock Products,Produse cu stoc limitat
Message:,Mesaj:
Miscellaneous Feeds,Feed-uri diverse
New Orders,Comenzi noi
New Products,Produse noi
New Products from %s,Produse noi de la %s
Notified Date: %s<br/>,Data notificarii: %s<br/>
Order # %s Notification(s),Notificare comanda # %s
Order #%s created at %s,Comanda #%s creata la %s
Pending product review(s),Recenzii produs in asteptare
"Product: ""%s"" review By: %s","Produs: ""%s"" evaluat de: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produs: <a href=""%s"">%s</a> <br/>"
Products tagged with %s,Produse etichetate cu %s
Purchased From: %s,Cumparat de la: %s
RSS,RSS
RSS Feeds,Feed-uri RSS
RSS Feeds List,Lista feed-uri RSS
RSS Feeds Section,Sectiune feed-uri RSS
Review: %s <br/>,Recenzie: %s <br/>
Rss Config,Configurare RSS
Shipping &amp; Handling,Livrare &amp; Manipulare
Special Products,Produse speciale
Store: %s <br/>,Magazin: %s <br/>
Subtotal,Subtotal
Summary of review: %s <br/>,Sumar recenzie: %s <br/>
Tags Products,Etichete produse
Tax,Taxa
There are no Rss Feeds,Nu exista feed-uri RSS
To:,La:
Top Level Category,Categorie de top
Total: %s<br/>,Total: %s<br/>
Wishlist,Favorite
"click <a href=""%s"">here</a> to view the review","click <a href=""%s"">aici</a> pentru a vedea o recenzie"
%s's Wishlist,"Favoritele lui %s"""
%s - Special Discounts,%s - Reduceri speciale
There are no %s.,Nu exista %s.
Special/Discount Products,Produse speciale/cu pret redus
Discount ,Reducere 
Shipping & Handling,Transport si manipulare
